Iteration	CPUTime	PhysTime	Travels
1	1	0.00524655639	0.00736806302
2	2	0.00819179626	0.014736126
3	2	0.0111375805	0.0221041891
4	3	0.0140968006	0.0294722521
5	3	0.017117596	0.0368403151
6	3	0.0220268933	0.0442083781
7	4	0.027407794	0.0515764412
8	5	0.0329551885	0.0589445042
9	5	0.0385542927	0.0663125672
10	5	0.0441768009	0.0736806302
11	6	0.0526406142	0.0810486932
12	7	0.0611697506	0.0884167563
13	7	0.0697371403	0.0957848193
14	8	0.0783533982	0.103152882
15	8	0.087027957	0.110520945
16	8	0.100106698	0.117889008
17	8	0.113275352	0.125257071
18	9	0.126539678	0.132625134
19	9	0.139903985	0.139993197
20	9	0.153333442	0.14736126
21	10	0.173578756	0.154729323
22	10	0.193970753	0.162097386
23	10	0.21450771	0.169465449
24	10	0.235151372	0.176833513
25	11	0.255886144	0.184201576
26	11	0.287116271	0.191569639
27	11	0.318517817	0.198937702
28	11	0.350069321	0.206305765
29	12	0.381753984	0.213673828
30	12	0.413541371	0.221041891
31	12	0.455496367	0.228409954
32	13	0.497554264	0.235778017
33	13	0.539695954	0.24314608
34	13	0.581903554	0.250514143
35	13	0.624161703	0.257882206
36	14	0.66645503	0.265250269
37	14	0.70876898	0.272618332
38	14	0.751087391	0.279986395
39	15	0.793399075	0.287354458
40	15	0.835690411	0.294722521
41	15	0.877949757	0.302090584
42	16	0.92016601	0.309458647
43	16	0.96233063	0.31682671
44	17	1	0.324194773
45	18	1.04204501	0.331562836
46	18	1.08401898	0.338930899
47	18	1.12592006	0.346298962
48	18	1.16774677	0.353667025
49	19	1.2095012	0.361035088
50	19	1.25118507	0.368403151
51	19	1.29280226	0.375771214
52	20	1.33435701	0.383139277
53	20	1.37585572	0.39050734
54	20	1.41730404	0.397875403
55	21	1.45870982	0.405243466
56	21	1.50008051	0.412611529
57	21	1.54142413	0.419979592
58	22	1.58274792	0.427347655
59	22	1.62405894	0.434715718
60	22	1.6653636	0.442083781
61	22	1.70666953	0.449451844
62	23	1.74798054	0.456819907
63	23	1.78930341	0.46418797
64	23	1.83064273	0.471556033
