Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	293.922613	293.922613	293.922613	293.922613	0	0	0	0	483.489	0	0	3
5	1	0	0.00657894737	295.934401	294.928507	293.922613	295.934401	1.0058939	0	0	0	699.789	0	0	3
10	1	0	0.0131578947	297.673466	295.843493	293.922613	297.673466	1.92087999	0	0	0	590.803	0	0	3
15	1	0	0.0197368421	299.246757	296.694309	293.922613	299.246757	2.77169578	0	0	0	580.844	0	0	3
20	1	0	0.0263157895	300.736888	297.502825	293.922613	300.736888	3.58021143	0	0	0	592.912	0	0	3
25	2	0	0.0328947368	301.959367	298.245582	293.922613	301.959367	4.32296846	0	0	0	622.539	0	0	3
30	2	0	0.0394736842	303.047574	298.931581	293.922613	303.047574	5.00896732	0	0	0	670.48	0	0	3
35	2	0	0.0460526316	304.149264	299.583791	293.922613	304.149264	5.66117775	0	0	0	699.038	0	0	3
40	2	0	0.0526315789	305.231956	300.211365	293.922613	305.231956	6.28875165	0	0	0	711.552	0	0	3
45	2	0	0.0592105263	306.341567	300.824385	293.922613	306.341567	6.90177188	0	0	0	720.558	0	0	3
50	3	0	0.0657894737	307.435936	301.425435	293.922613	307.435936	7.50282192	0	0	0	725.855	0	0	3
55	3	0	0.0723684211	308.484709	302.013708	293.922613	308.484709	8.09109473	0	0	0	725.828	0	0	3
60	3	0	0.0789473684	309.438377	302.584837	293.922613	309.438377	8.66222307	0	0	0	725.517	0	0	3
65	3	0	0.0855263158	310.347376	303.139304	293.922613	310.347376	9.2166902	0	0	0	724.162	0	0	3
70	3	0	0.0921052632	311.237035	303.679152	293.922613	311.237035	9.75653894	0	0	0	718.632	0	0	3
75	3	0	0.0986842105	312.11685	304.206509	293.922613	312.11685	10.283895	0	0	0	712.868	0	0	3
80	4	0	0.105263158	312.908583	304.718395	293.922613	312.908583	10.7957818	0	0	0	706.654	0	0	3
85	4	0	0.111842105	313.616299	305.212723	293.922613	313.616299	11.2901097	0	0	0	698.294	0	0	3
90	4	0	0.118421053	314.236717	305.68767	293.922613	314.236717	11.7650568	0	0	0	690.719	0	0	3
95	4	0	0.125	314.834076	306.144991	293.922613	314.834076	12.2223771	0	0	0	681.755	0	0	3
100	4	0	0.131578947	315.380617	306.584782	293.922613	315.380617	12.6621688	0	0	0	676.783	0	0	3
105	5	0	0.138157895	315.907433	307.008539	293.922613	315.907433	13.0859256	0	0	0	675.966	0	0	3
110	5	0	0.144736842	316.400728	307.416895	293.922613	316.400728	13.4942816	0	0	0	676.882	0	0	3
115	5	0	0.151315789	316.887015	307.811483	293.922613	316.887015	13.88887	0	0	0	676.767	0	0	3
120	5	0	0.157894737	317.353436	308.193162	293.922613	317.353436	14.2705481	0	0	0	675.105	0	0	3
125	5	0	0.164473684	317.820621	308.563448	293.922613	317.820621	14.640835	0	0	0	672.248	0	0	3
130	6	0	0.171052632	318.253238	308.92233	293.922613	318.253238	14.9997161	0	0	0	668.727	0	0	3
135	6	0	0.177631579	318.673645	309.270591	293.922613	318.673645	15.3479774	0	0	0	665.361	0	0	3
140	6	0	0.184210526	319.056207	309.608026	293.922613	319.056207	15.6854124	0	0	0	662.588	0	0	3
145	6	0	0.190789474	319.438876	309.935721	293.922613	319.438876	16.0131074	0	0	0	660.489	0	0	3
150	6	0	0.197368421	319.797486	310.253842	293.922613	319.797486	16.3312289	0	0	0	659.128	0	0	3
155	7	0	0.203947368	320.15047	310.563112	293.922613	320.15047	16.6404985	0	0	0	658.305	0	0	3
160	7	0	0.210526316	320.48378	310.863738	293.922613	320.48378	16.9411248	0	0	0	658.029	0	0	3
165	7	0	0.217105263	320.814149	311.156397	293.922613	320.814149	17.2337839	0	0	0	658.019	0	0	3
170	7	0	0.223684211	321.133917	311.441469	293.922613	321.133917	17.5188559	0	0	0	657.826	0	0	3
175	7	0	0.230263158	321.442193	311.719267	293.922613	321.442193	17.7966538	0	0	0	657.67	0	0	3
180	8	0	0.236842105	321.742811	311.990174	293.922613	321.742811	18.0675603	0	0	0	657.217	0	0	3
185	8	0	0.243421053	322.027772	312.254321	293.922613	322.027772	18.3317077	0	0	0	656.519	0	0	3
190	8	0	0.25	322.30683	312.512078	293.922613	322.30683	18.5894643	0	0	0	655.887	0	0	3
195	8	0	0.256578947	322.559033	312.763252	293.922613	322.559033	18.8406382	0	0	0	655.07	0	0	3
