Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	144103.562	144103.562	144103.562	144103.562	0	0	0	0	52879.5	0	0	3
5	1	0	0.00657894737	260457.229	202280.395	144103.562	260457.229	58176.8338	0	0	0	201327	0	0	3
10	1	0	0.0131578947	355041.49	253200.76	144103.562	355041.49	109097.199	0	0	0	319683	0	0	3
15	1	0	0.0197368421	425361.767	296241.012	144103.562	425361.767	152137.45	0	0	0	404417	0	0	3
20	1	0	0.0263157895	486224.242	334237.658	144103.562	486224.242	190134.096	0	0	0	473822	0	0	3
25	2	0	0.0328947368	537000.93	368031.537	144103.562	537000.93	223927.975	0	0	0	529657	0	0	3
30	2	0	0.0394736842	575720.297	397701.36	144103.562	575720.297	253597.798	0	0	0	571374	0	0	3
35	2	0	0.0460526316	608589.921	424062.43	144103.562	608589.921	279958.868	0	0	0	606017	0	0	3
40	2	0	0.0526315789	624706.444	446356.209	144103.562	624706.444	302252.647	0	0	0	623178	0	0	3
45	2	0	0.0592105263	626945.987	464415.187	144103.562	626945.987	320311.625	0	0	0	626036	0	0	3
50	3	0	0.0657894737	617529.435	478334.664	144103.562	626945.987	334231.102	0	0	0	616804	0	0	3
55	3	0	0.0723684211	603787.667	488789.081	144103.562	626945.987	344685.519	0	0	0	602598	0	0	3
60	3	0	0.0789473684	599224.676	497284.127	144103.562	626945.987	353180.565	0	0	0	598340	0	0	3
65	3	0	0.0855263158	601839.529	504752.37	144103.562	626945.987	360648.808	0	0	0	601161	0	0	3
70	3	0	0.0921052632	603914.2	511363.158	144103.562	626945.987	367259.597	0	0	0	603021	0	0	3
75	3	0	0.0986842105	608265.686	517419.566	144103.562	626945.987	373316.005	0	0	0	607050	0	0	3
80	4	0	0.105263158	612836.184	523032.309	144103.562	626945.987	378928.747	0	0	0	611615	0	0	3
85	4	0	0.111842105	625955.189	528750.246	144103.562	626945.987	384646.685	0	0	0	624718	0	0	3
90	4	0	0.118421053	645607.351	534900.62	144103.562	645607.351	390797.059	0	0	0	644196	0	0	3
95	4	0	0.125	681554.234	542233.301	144103.562	681554.234	398129.739	0	0	0	679864	0	0	3
100	4	0	0.131578947	708140.679	550133.652	144103.562	708140.679	406030.091	0	0	0	706302	0	0	3
105	5	0	0.138157895	714328.764	557597.066	144103.562	714328.764	413493.505	0	0	0	712520	0	0	3
110	5	0	0.144736842	731457.229	565156.204	144103.562	731457.229	421052.642	0	0	0	729655	0	0	3
115	5	0	0.151315789	739873.402	572436.087	144103.562	739873.402	428332.526	0	0	0	738051	0	0	3
120	5	0	0.157894737	749134.124	579504.009	144103.562	749134.124	435400.447	0	0	0	747276	0	0	3
125	5	0	0.164473684	781327.691	587266.458	144103.562	781327.691	443162.896	0	0	0	779425	0	0	3
130	6	0	0.171052632	796916.916	595031.29	144103.562	796916.916	450927.728	0	0	0	794956	0	0	3
135	6	0	0.177631579	813252.948	602824.92	144103.562	813252.948	458721.359	0	0	0	811227	0	0	3
140	6	0	0.184210526	820484.246	610330.414	144103.562	820484.246	466226.853	0	0	0	818391	0	0	3
145	6	0	0.190789474	834463.498	617801.517	144103.562	834463.498	473697.956	0	0	0	832305	0	0	3
150	6	0	0.197368421	849290.802	625268.914	144103.562	849290.802	481165.352	0	0	0	847053	0	0	3
155	7	0	0.203947368	846868.912	632193.913	144103.562	849290.802	488090.352	0	0	0	844547	0	0	3
160	7	0	0.210526316	852998.448	638884.96	144103.562	852998.448	494781.398	0	0	0	850582	0	0	3
165	7	0	0.217105263	845803.03	644970.786	144103.562	852998.448	500867.224	0	0	0	843279	0	0	3
170	7	0	0.223684211	840105.411	650546.061	144103.562	852998.448	506442.499	0	0	0	837453	0	0	3
175	7	0	0.230263158	840874.253	655832.955	144103.562	852998.448	511729.393	0	0	0	838079	0	0	3
180	8	0	0.236842105	835644.994	660692.74	144103.562	852998.448	516589.178	0	0	0	832684	0	0	3
185	8	0	0.243421053	843326.425	665498.889	144103.562	852998.448	521395.328	0	0	0	840167	0	0	3
190	8	0	0.25	861476.987	670523.969	144103.562	861476.987	526420.407	0	0	0	858109	0	0	3
195	8	0	0.256578947	860799.571	675280.859	144103.562	861476.987	531177.297	0	0	0	857228	0	0	3
200	9	0	0.263157895	853302.304	679622.845	144103.562	861476.987	535519.284	0	0	0	849529	0	0	3
205	9	0	0.269736842	845185.199	683564.806	144103.562	861476.987	539461.244	0	0	0	841212	0	0	3
210	9	0	0.276315789	831735.233	687010.63	144103.562	861476.987	542907.068	0	0	0	827569	0	0	3
215	9	0	0.282894737	827990.405	690214.716	144103.562	861476.987	546111.154	0	0	0	823749	0	0	3
220	9	0	0.289473684	820258.578	693104.579	144103.562	861476.987	549001.018	0	0	0	816020	0	0	3
225	10	0	0.296052632	811938.716	695687.93	144103.562	861476.987	551584.368	0	0	0	807701	0	0	3
230	10	0	0.302631579	829661.2	698538.425	144103.562	861476.987	554434.864	0	0	0	825426	0	0	3
235	10	0	0.309210526	850273.145	701699.565	144103.562	861476.987	557596.004	0	0	0	846040	0	0	3
240	10	0	0.315789474	851052.409	704747.582	144103.562	861476.987	560644.021	0	0	0	846822	0	0	3
245	10	0	0.322368421	842853.155	707509.694	144103.562	861476.987	563406.132	0	0	0	838624	0	0	3
250	11	0	0.328947368	839648.796	710100.657	144103.562	861476.987	565997.095	0	0	0	835423	0	0	3
255	11	0	0.335526316	832090.872	712446.622	144103.562	861476.987	568343.061	0	0	0	827886	0	0	3
260	11	0	0.342105263	823033.303	714533.163	144103.562	861476.987	570429.602	0	0	0	818842	0	0	3
265	11	0	0.348684211	812866.252	716354.147	144103.562	861476.987	572250.585	0	0	0	808697	0	0	3
270	11	0	0.355263158	804465.509	717956.171	144103.562	861476.987	573852.61	0	0	0	800312	0	0	3
275	12	0	0.361842105	818102.833	719744.505	144103.562	861476.987	575640.943	0	0	0	813975	0	0	3
280	12	0	0.368421053	837795.855	721815.581	144103.562	861476.987	577712.019	0	0	0	833686	0	0	3
285	12	0	0.375	848362.083	723997.417	144103.562	861476.987	579893.856	0	0	0	844277	0	0	3
290	12	0	0.381578947	847059.743	726083.219	144103.562	861476.987	581979.658	0	0	0	842992	0	0	3
295	12	0	0.388157895	837701.904	727943.531	144103.562	861476.987	583839.969	0	0	0	833646	0	0	3
300	12	0	0.394736842	824755.205	729530.607	144103.562	861476.987	585427.046	0	0	0	820700	0	0	3
305	13	0	0.401315789	820215.997	730993.275	144103.562	861476.987	586889.713	0	0	0	816159	0	0	3
310	13	0	0.407894737	813191.496	732298.009	144103.562	861476.987	588194.447	0	0	0	809132	0	0	3
315	13	0	0.414473684	815629.279	733600.06	144103.562	861476.987	589496.498	0	0	0	811565	0	0	3
320	13	0	0.421052632	837933.907	735205.196	144103.562	861476.987	591101.634	0	0	0	833873	0	0	3
325	13	0	0.427631579	849300.568	736933.914	144103.562	861476.987	592830.352	0	0	0	845245	0	0	3
330	14	0	0.434210526	844323.403	738536.742	144103.562	861476.987	594433.18	0	0	0	840263	0	0	3
335	14	0	0.440789474	836686.534	739980.121	144103.562	861476.987	595876.559	0	0	0	832623	0	0	3
340	14	0	0.447368421	827431.269	741247.529	144103.562	861476.987	597143.967	0	0	0	823363	0	0	3
345	14	0	0.453947368	835763.046	742597.751	144103.562	861476.987	598494.189	0	0	0	831688	0	0	3
350	15	0	0.460526316	832378.786	743862.272	144103.562	861476.987	599758.711	0	0	0	828303	0	0	3
