Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	1029.02168	1029.02168	1029.02168	1029.02168	0	0	0	0	1029.5	0	0	3
5	1	0	0.00657894737	1027.05791	1028.03979	1027.05791	1029.02168	0.981887897	0	0	0	1031.15	0	0	3
10	1	0	0.0131578947	1025.20522	1027.09494	1025.20522	1029.02168	1.92674439	0	0	0	1037.64	0	0	3
15	1	0	0.0197368421	1023.379	1026.16595	1023.379	1029.02168	2.85572748	0	0	0	1034.75	0	0	3
20	1	0	0.0263157895	1021.17296	1025.16736	1021.17296	1029.02168	3.85432568	0	0	0	1034.39	0	0	3
25	2	0	0.0328947368	1019.47684	1024.21894	1019.47684	1029.02168	4.80274452	0	0	0	1029.5	0	0	3
30	2	0	0.0394736842	1017.88896	1023.31466	1017.88896	1029.02168	5.70702636	0	0	0	1049.94	0	0	3
35	2	0	0.0460526316	1016.88764	1022.51128	1016.88764	1029.02168	6.51040359	0	0	0	1088.59	0	0	3
40	2	0	0.0526315789	1015.80028	1021.76561	1015.80028	1029.02168	7.25607024	0	0	0	1102.47	0	0	3
45	2	0	0.0592105263	1015.05054	1021.0941	1015.05054	1029.02168	7.9275777	0	0	0	1114.28	0	0	3
50	3	0	0.0657894737	1014.21208	1020.46847	1014.21208	1029.02168	8.55321615	0	0	0	1122.83	0	0	3
55	3	0	0.0723684211	1013.51026	1019.88861	1013.51026	1029.02168	9.13306676	0	0	0	1128.18	0	0	3
60	3	0	0.0789473684	1012.62136	1019.3296	1012.62136	1029.02168	9.69208625	0	0	0	1129.98	0	0	3
65	3	0	0.0855263158	1011.78308	1018.79056	1011.78308	1029.02168	10.2311232	0	0	0	1130.23	0	0	3
70	3	0	0.0921052632	1010.68663	1018.2503	1010.68663	1029.02168	10.7713848	0	0	0	1129.65	0	0	3
75	3	0	0.0986842105	1009.60724	1017.71011	1009.60724	1029.02168	11.3115759	0	0	0	1129.08	0	0	3
80	4	0	0.105263158	1008.36946	1017.16066	1008.36946	1029.02168	11.8610259	0	0	0	1129.09	0	0	3
85	4	0	0.111842105	1007.20261	1016.60743	1007.20261	1029.02168	12.4142504	0	0	0	1128.83	0	0	3
90	4	0	0.118421053	1006.08895	1016.05383	1006.08895	1029.02168	12.9678544	0	0	0	1129.32	0	0	3
95	4	0	0.125	1005.07218	1015.50474	1005.07218	1029.02168	13.5169369	0	0	0	1129.02	0	0	3
100	4	0	0.131578947	1004.05296	1014.95942	1004.05296	1029.02168	14.0622598	0	0	0	1132.39	0	0	3
105	5	0	0.138157895	1003.12738	1014.4216	1003.12738	1029.02168	14.6000801	0	0	0	1135.2	0	0	3
110	5	0	0.144736842	1002.33142	1013.89594	1002.33142	1029.02168	15.12574	0	0	0	1137.03	0	0	3
115	5	0	0.151315789	1001.46874	1013.37814	1001.46874	1029.02168	15.6435399	0	0	0	1138.86	0	0	3
120	5	0	0.157894737	1000.75488	1012.87321	1000.75488	1029.02168	16.1484705	0	0	0	1140.41	0	0	3
125	5	0	0.164473684	999.973919	1012.37708	999.973919	1029.02168	16.6445971	0	0	0	1141.43	0	0	3
130	6	0	0.171052632	999.351976	1011.89467	999.351976	1029.02168	17.1270085	0	0	0	1141.59	0	0	3
135	6	0	0.177631579	998.649796	1011.42164	998.649796	1029.02168	17.6000398	0	0	0	1141.6	0	0	3
140	6	0	0.184210526	998.06307	1010.961	998.06307	1029.02168	18.0606802	0	0	0	1142.35	0	0	3
145	6	0	0.190789474	997.392337	1010.50871	997.392337	1029.02168	18.512969	0	0	0	1143.61	0	0	3
150	6	0	0.197368421	996.880661	1010.0691	996.880661	1029.02168	18.9525836	0	0	0	1144.82	0	0	3
155	7	0	0.203947368	996.239606	1009.63693	996.239606	1029.02168	19.3847553	0	0	0	1145.97	0	0	3
160	7	0	0.210526316	995.734796	1009.21565	995.734796	1029.02168	19.8060319	0	0	0	1147.07	0	0	3
165	7	0	0.217105263	995.182547	1008.80291	995.182547	1029.02168	20.2187702	0	0	0	1148.08	0	0	3
170	7	0	0.223684211	994.689522	1008.39967	994.689522	1029.02168	20.62201	0	0	0	1149.28	0	0	3
175	7	0	0.230263158	994.179008	1008.00465	994.179008	1029.02168	21.0170284	0	0	0	1150.42	0	0	3
180	8	0	0.236842105	993.696721	1007.61795	993.696721	1029.02168	21.4037292	0	0	0	1151.51	0	0	3
185	8	0	0.243421053	993.238876	1007.23956	993.238876	1029.02168	21.782126	0	0	0	1152.06	0	0	3
190	8	0	0.25	992.848319	1006.87055	992.848319	1029.02168	22.1511321	0	0	0	1152.75	0	0	3
195	8	0	0.256578947	992.427879	1006.50948	992.427879	1029.02168	22.5121988	0	0	0	1153.47	0	0	3
200	9	0	0.263157895	992.046298	1006.15672	992.046298	1029.02168	22.8649594	0	0	0	1153.63	0	0	3
205	9	0	0.269736842	991.706212	1005.81266	991.706212	1029.02168	23.2090192	0	0	0	1154.15	0	0	3
210	9	0	0.276315789	991.282089	1005.47474	991.282089	1029.02168	23.5469395	0	0	0	1154.38	0	0	3
215	9	0	0.282894737	991.008403	1005.14596	991.008403	1029.02168	23.8757199	0	0	0	1155.02	0	0	3
220	9	0	0.289473684	990.643034	1004.82367	990.643034	1029.02168	24.1980072	0	0	0	1155.11	0	0	3
225	10	0	0.296052632	990.377497	1004.50963	990.377497	1029.02168	24.5120546	0	0	0	1155.74	0	0	3
230	10	0	0.302631579	990.083111	1004.20268	990.083111	1029.02168	24.8190017	0	0	0	1155.92	0	0	3
235	10	0	0.309210526	989.827472	1003.9032	989.827472	1029.02168	25.1184852	0	0	0	1156.36	0	0	3
240	10	0	0.315789474	989.563665	1003.61055	989.563665	1029.02168	25.4111287	0	0	0	1156.5	0	0	3
245	10	0	0.322368421	989.296809	1003.32428	989.296809	1029.02168	25.6974036	0	0	0	1156.97	0	0	3
250	11	0	0.328947368	989.037768	1003.04415	989.037768	1029.02168	25.9775312	0	0	0	1157.1	0	0	3
255	11	0	0.335526316	988.792381	1002.77008	988.792381	1029.02168	26.2516037	0	0	0	1157.63	0	0	3
260	11	0	0.342105263	988.585179	1002.50244	988.585179	1029.02168	26.5192433	0	0	0	1157.81	0	0	3
265	11	0	0.348684211	988.28215	1002.2391	988.28215	1029.02168	26.782582	0	0	0	1158.22	0	0	3
270	11	0	0.355263158	988.11956	1001.98238	988.11956	1029.02168	27.0393009	0	0	0	1158.64	0	0	3
275	12	0	0.361842105	987.854693	1001.7301	987.854693	1029.02168	27.291581	0	0	0	1158.85	0	0	3
280	12	0	0.368421053	987.692945	1001.48383	987.692945	1029.02168	27.5378469	0	0	0	1159.17	0	0	3
285	12	0	0.375	987.494567	1001.24264	987.494567	1029.02168	27.7790412	0	0	0	1159.21	0	0	3
290	12	0	0.381578947	987.322569	1001.00671	987.322569	1029.02168	28.0149746	0	0	0	1159.4	0	0	3
295	12	0	0.388157895	987.128947	1000.77541	987.128947	1029.02168	28.2462706	0	0	0	1159.58	0	0	3
300	12	0	0.394736842	986.940053	1000.5486	986.940053	1029.02168	28.4730797	0	0	0	1159.84	0	0	3
305	13	0	0.401315789	986.727908	1000.32569	986.727908	1029.02168	28.6959941	0	0	0	1160.06	0	0	3
310	13	0	0.407894737	986.554236	1000.10709	986.554236	1029.02168	28.9145886	0	0	0	1160.13	0	0	3
315	13	0	0.414473684	986.426753	999.893338	986.426753	1029.02168	29.1283439	0	0	0	1159.63	0	0	3
320	13	0	0.421052632	986.207206	999.682782	986.207206	1029.02168	29.3388998	0	0	0	1159.31	0	0	3
325	13	0	0.427631579	986.106739	999.477084	986.106739	1029.02168	29.5445974	0	0	0	1158.93	0	0	3
330	14	0	0.434210526	985.895511	999.274374	985.895511	1029.02168	29.7473075	0	0	0	1158.38	0	0	3
335	14	0	0.440789474	985.775295	999.075858	985.775295	1029.02168	29.9458233	0	0	0	1158.1	0	0	3
340	14	0	0.447368421	985.592054	998.880441	985.592054	1029.02168	30.1412408	0	0	0	1158.05	0	0	3
345	14	0	0.453947368	985.410735	998.688016	985.410735	1029.02168	30.3336652	0	0	0	1158.38	0	0	3
350	15	0	0.460526316	985.256129	998.498835	985.256129	1029.02168	30.5228467	0	0	0	1158.59	0	0	3
355	15	0	0.467105263	985.067922	998.312294	985.067922	1029.02168	30.7093871	0	0	0	1158.91	0	0	3
360	15	0	0.473684211	984.927484	998.128941	984.927484	1029.02168	30.8927407	0	0	0	1159.17	0	0	3
365	15	0	0.480263158	984.814583	997.949017	984.814583	1029.02168	31.0726645	0	0	0	1159.51	0	0	3
370	15	0	0.486842105	984.703256	997.772407	984.703256	1029.02168	31.2492746	0	0	0	1159.79	0	0	3
375	16	0	0.493421053	984.547363	997.598393	984.547363	1029.02168	31.4232883	0	0	0	1160.06	0	0	3
380	16	0	0.5	984.426759	997.427333	984.426759	1029.02168	31.5943485	0	0	0	1160.41	0	0	3
385	16	0	0.506578947	984.260915	996.846024	984.260915	1027.05791	31.1937693	0	0	0	1160.77	0	0	3
390	16	0	0.513157895	984.13185	995.90806	984.13185	1023.379	30.2578936	0	0	0	1160.87	0	0	3
395	16	0	0.519736842	984.005798	995.389992	984.005798	1021.17296	29.7773639	0	0	0	1160.56	0	0	3
400	17	0	0.526315789	983.849647	994.898896	983.849647	1019.47684	29.3200413	0	0	0	1160.07	0	0	3
405	17	0	0.532894737	983.774223	994.429124	983.774223	1017.88896	28.8855308	0	0	0	1159.56	0	0	3
410	17	0	0.539473684	983.650522	993.978619	983.650522	1016.88764	28.5326594	0	0	0	1159.36	0	0	3
415	17	0	0.546052632	983.510856	993.53945	983.510856	1015.80028	28.2261609	0	0	0	1158.96	0	0	3
420	18	0	0.552631579	983.434525	993.113585	983.434525	1015.05054	27.9805186	0	0	0	1158.54	0	0	3
425	18	0	0.559210526	983.353519	992.696519	983.353519	1014.21208	27.7719462	0	0	0	1158.2	0	0	3
430	18	0	0.565789474	983.205694	992.28854	983.205694	1013.51026	27.6000744	0	0	0	1157.77	0	0	3
435	18	0	0.572368421	983.126051	992.169547	983.126051	1013.51026	27.7190677	0	0	0	1157.29	0	0	3
440	18	0	0.578947368	982.998428	991.498973	982.998428	1011.78308	27.2915855	0	0	0	1157.05	0	0	3
445	18	0	0.585526316	982.918307	991.119173	982.918307	1010.68663	27.1311236	0	0	0	1157.17	0	0	3
450	19	0	0.592105263	982.834966	991.011586	982.834966	1010.68663	27.2387107	0	0	0	1156.86	0	0	3
455	19	0	0.598684211	982.738802	990.399172	982.738802	1008.36946	25.6306534	0	0	0	1156.35	0	0	3
460	19	0	0.605263158	982.645275	990.060696	982.645275	1007.20261	24.5573399	0	0	0	1156.18	0	0	3
465	20	0	0.611842105	982.615242	989.964001	982.615242	1007.20261	24.5873724	0	0	0	1155.82	0	0	3
470	20	0	0.618421053	982.475887	989.426479	982.475887	1005.07218	22.5962899	0	0	0	1155.7	0	0	3
475	20	0	0.625	982.451457	989.128838	982.451457	1004.05296	21.6015068	0	0	0	1155.4	0	0	3
480	20	0	0.631578947	982.386801	988.843757	982.386801	1003.12738	20.7405754	0	0	0	1154.94	0	0	3
485	20	0	0.638157895	982.343625	988.570287	982.343625	1002.33142	19.9877982	0	0	0	1154.78	0	0	3
490	21	0	0.644736842	982.248294	988.306035	982.248294	1001.46874	19.2204494	0	0	0	1154.63	0	0	3
495	21	0	0.651315789	982.185412	988.052307	982.185412	1000.75488	18.5694665	0	0	0	1154.41	0	0	3
500	21	0	0.657894737	982.093049	987.806757	982.093049	999.973919	17.8808696	0	0	0	1154.23	0	0	3
505	21	0	0.664473684	982.057296	987.571012	982.057296	999.351976	17.2946795	0	0	0	1154.1	0	0	3
510	21	0	0.671052632	982.048623	987.343336	982.048623	998.649796	16.601173	0	0	0	1154.13	0	0	3
515	22	0	0.677631579	981.964805	987.123797	981.964805	998.06307	16.0982651	0	0	0	1154.04	0	0	3
520	22	0	0.684210526	981.943231	986.911693	981.943231	997.392337	15.4491064	0	0	0	1154.07	0	0	3
525	22	0	0.690789474	981.834793	986.706989	981.834793	996.880661	15.0458674	0	0	0	1153.95	0	0	3
530	22	0	0.697368421	981.836295	986.643733	981.834793	996.880661	15.0458674	0	0	0	1153.94	0	0	3
535	22	0	0.703947368	981.744655	986.318314	981.744655	995.734796	13.9901408	0	0	0	1153.84	0	0	3
540	25	0	0.710526316	981.73812	986.134147	981.73812	995.182547	13.4444267	0	0	0	1153.77	0	0	3
545	25	0	0.717105263	981.759092	986.077328	981.73812	995.182547	13.4444267	0	0	0	1153.61	0	0	3
550	25	0	0.723684211	981.637156	985.785781	981.637156	994.179008	12.5418527	0	0	0	1153.53	0	0	3
555	25	0	0.730263158	981.658762	985.621041	981.637156	993.696721	12.0595653	0	0	0	1153.5	0	0	3
560	26	0	0.736842105	981.529731	985.460949	981.529731	993.238876	11.7091453	0	0	0	1153.36	0	0	3
565	26	0	0.743421053	981.524564	985.306813	981.524564	992.848319	11.3237548	0	0	0	1153.31	0	0	3
570	26	0	0.75	981.429357	985.156564	981.429357	992.427879	10.9985221	0	0	0	1153.12	0	0	3
575	26	0	0.756578947	981.44759	985.108395	981.429357	992.427879	10.9985221	0	0	0	1153.15	0	0	3
580	27	0	0.763157895	981.343449	984.871259	981.343449	991.706212	10.3627624	0	0	0	1153.04	0	0	3
585	27	0	0.769736842	981.383954	984.73544	981.343449	991.282089	9.93863978	0	0	0	1152.95	0	0	3
590	27	0	0.776315789	981.375248	984.691801	981.343449	991.282089	9.93863978	0	0	0	1152.89	0	0	3
595	28	0	0.782894737	981.288741	984.477197	981.288741	990.643034	9.35429223	0	0	0	1152.83	0	0	3
