Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
290	12	0	0.381578947	144299.391	130489.664	101656.778	144299.391	28832.8862	0	0	0	842992	0	0	3
295	12	0	0.388157895	144484.974	130722.92	101656.778	144484.974	29066.1414	0	0	0	833646	0	0	3
300	12	0	0.394736842	144671.267	130951.581	101656.778	144671.267	29294.8028	0	0	0	820700	0	0	3
305	13	0	0.401315789	144852.049	131175.782	101656.778	144852.049	29519.0039	0	0	0	816159	0	0	3
310	13	0	0.407894737	145034.092	131395.755	101656.778	145034.092	29738.9771	0	0	0	809132	0	0	3
315	13	0	0.414473684	145200.497	131611.454	101656.778	145200.497	29954.6762	0	0	0	811565	0	0	3
320	13	0	0.421052632	145365.395	131823.053	101656.778	145365.395	30166.2752	0	0	0	833873	0	0	3
325	13	0	0.427631579	145524.991	132030.659	101656.778	145524.991	30373.8804	0	0	0	845245	0	0	3
330	14	0	0.434210526	145675.751	132234.317	101656.778	145675.751	30577.5385	0	0	0	840263	0	0	3
335	14	0	0.440789474	145834.488	132434.319	101656.778	145834.488	30777.541	0	0	0	832623	0	0	3
340	14	0	0.447368421	145986.971	132630.734	101656.778	145986.971	30973.9562	0	0	0	823363	0	0	3
345	14	0	0.453947368	146139.176	132823.712	101656.778	146139.176	31166.934	0	0	0	831688	0	0	3
350	15	0	0.460526316	146285.125	133013.31	101656.778	146285.125	31356.5313	0	0	0	828303	0	0	3
355	15	0	0.467105263	146431.94	133199.679	101656.778	146431.94	31542.9012	0	0	0	818985	0	0	3
360	15	0	0.473684211	146567.757	133382.804	101656.778	146567.757	31726.0255	0	0	0	826985	0	0	3
365	15	0	0.480263158	146702.539	133562.8	101656.778	146702.539	31906.022	0	0	0	841241	0	0	3
370	15	0	0.486842105	146831.799	133739.72	101656.778	146831.799	32082.942	0	0	0	843078	0	0	3
375	16	0	0.493421053	146964.775	133913.734	101656.778	146964.775	32256.9558	0	0	0	836649	0	0	3
380	16	0	0.5	147091.873	134084.879	101656.778	147091.873	32428.1005	0	0	0	833455	0	0	3
385	16	0	0.506578947	147213.312	134676.522	102689.819	147213.312	32503.2233	0	0	0	842587	0	0	3
390	16	0	0.513157895	147338.043	135668.95	105264.784	147338.043	32291.0447	0	0	0	841211	0	0	3
395	16	0	0.519736842	147455.65	136224.093	106751.923	147455.65	32171.3841	0	0	0	833631	0	0	3
400	17	0	0.526315789	147567.442	136761.139	108313.73	147567.442	31998.2602	0	0	0	829358	0	0	3
405	17	0	0.532894737	147677.688	137279.086	109949.981	147677.688	31775.1924	0	0	0	838167	0	0	3
410	17	0	0.539473684	147781.3	137776.866	111656.412	147781.3	31503.908	0	0	0	839873	0	0	3
415	17	0	0.546052632	147877.259	138253.456	113401.33	147877.259	31188.4568	0	0	0	834759	0	0	3
420	18	0	0.552631579	147978.414	138708.418	115157.162	147978.414	30834.2022	0	0	0	839213	0	0	3
425	18	0	0.559210526	148068.927	139141.468	116877.096	148068.927	30448.8081	0	0	0	847393	0	0	3
430	18	0	0.565789474	148161.732	139553.108	118509.733	148161.732	29651.9988	0	0	0	846436	0	0	3
435	18	0	0.572368421	148245.222	139665.992	118509.733	148245.222	29735.4884	0	0	0	839362	0	0	3
440	18	0	0.578947368	148326.873	140316.652	121449.994	148326.873	26876.8784	0	0	0	829569	0	0	3
445	18	0	0.585526316	148402.288	140671.288	122753.416	148402.288	25648.8715	0	0	0	836129	0	0	3
450	19	0	0.592105263	148470.749	140772.58	122753.416	148470.749	25717.3327	0	0	0	837186	0	0	3
455	19	0	0.598684211	148540.989	141333.278	125031.939	148540.989	23509.0502	0	0	0	834149	0	0	3
460	19	0	0.605263158	148604.298	141643.441	126025.41	148604.298	22578.888	0	0	0	848132	0	0	3
465	20	0	0.611842105	148670.804	141734.706	126025.41	148670.804	22645.3936	0	0	0	863096	0	0	3
470	20	0	0.618421053	148734.104	142228.208	127787.062	148734.104	20947.0424	0	0	0	861933	0	0	3
475	20	0	0.625	148794.077	142504.616	128590.565	148794.077	20203.5118	0	0	0	856757	0	0	3
480	20	0	0.631578947	148853.859	142771.239	129371.392	148853.859	19482.4666	0	0	0	847516	0	0	3
