Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00131578947	0	0	0	0	0	0	0	0	0	0	0	3
5	1	0	0.00657894737	0	0	0	0	0	0	0	0	0	0	0	3
10	1	0	0.0131578947	0	0	0	0	0	0	0	0	0	0	0	3
15	1	0	0.0197368421	0	0	0	0	0	0	0	0	0	0	0	3
20	1	0	0.0263157895	0	0	0	0	0	0	0	0	0	0	0	3
25	2	0	0.0328947368	0	0	0	0	0	0	0	0	0	0	0	3
30	2	0	0.0394736842	0	0	0	0	0	0	0	0	0	0	0	3
35	2	0	0.0460526316	0	0	0	0	0	0	0	0	0	0	0	3
40	2	0	0.0526315789	0	0	0	0	0	0	0	0	0	0	0	3
45	2	0	0.0592105263	0	0	0	0	0	0	0	0	0	0	0	3
50	3	0	0.0657894737	0	0	0	0	0	0	0	0	0	0	0	3
55	3	0	0.0723684211	0	0	0	0	0	0	0	0	0	0	0	3
60	3	0	0.0789473684	0	0	0	0	0	0	0	0	0	0	0	3
65	3	0	0.0855263158	0	0	0	0	0	0	0	0	0	0	0	3
70	3	0	0.0921052632	0	0	0	0	0	0	0	0	0	0	0	3
75	3	0	0.0986842105	0	0	0	0	0	0	0	0	0	0	0	3
80	4	0	0.105263158	0	0	0	0	0	0	0	0	0	0	0	3
85	4	0	0.111842105	0	0	0	0	0	0	0	0	0	0	0	3
90	4	0	0.118421053	0	0	0	0	0	0	0	0	0	0	0	3
95	4	0	0.125	0	0	0	0	0	0	0	0	0	0	0	3
100	4	0	0.131578947	0	0	0	0	0	0	0	0	0	0	0	3
105	5	0	0.138157895	0	0	0	0	0	0	0	0	0	0	0	3
110	5	0	0.144736842	0	0	0	0	0	0	0	0	0	0	0	3
115	5	0	0.151315789	0	0	0	0	0	0	0	0	0	0	0	3
120	5	0	0.157894737	0	0	0	0	0	0	0	0	0	0	0	3
125	5	0	0.164473684	0	0	0	0	0	0	0	0	0	0	0	3
130	6	0	0.171052632	0	0	0	0	0	0	0	0	0	0	0	3
135	6	0	0.177631579	0	0	0	0	0	0	0	0	0	0	0	3
140	6	0	0.184210526	0	0	0	0	0	0	0	0	0	0	0	3
145	6	0	0.190789474	0	0	0	0	0	0	0	0	0	0	0	3
150	6	0	0.197368421	0	0	0	0	0	0	0	0	0	0	0	3
155	7	0	0.203947368	0	0	0	0	0	0	0	0	0	0	0	3
160	7	0	0.210526316	0	0	0	0	0	0	0	0	0	0	0	3
165	7	0	0.217105263	0	0	0	0	0	0	0	0	0	0	0	3
170	7	0	0.223684211	0	0	0	0	0	0	0	0	0	0	0	3
175	7	0	0.230263158	0	0	0	0	0	0	0	0	0	0	0	3
180	8	0	0.236842105	0	0	0	0	0	0	0	0	0	0	0	3
185	8	0	0.243421053	0	0	0	0	0	0	0	0	0	0	0	3
190	8	0	0.25	0	0	0	0	0	0	0	0	0	0	0	3
195	8	0	0.256578947	0	0	0	0	0	0	0	0	0	0	0	3
200	9	0	0.263157895	0	0	0	0	0	0	0	0	0	0	0	3
205	9	0	0.269736842	0	0	0	0	0	0	0	0	0	0	0	3
210	9	0	0.276315789	0	0	0	0	0	0	0	0	0	0	0	3
215	9	0	0.282894737	0	0	0	0	0	0	0	0	0	0	0	3
220	9	0	0.289473684	0	0	0	0	0	0	0	0	0	0	0	3
225	10	0	0.296052632	0	0	0	0	0	0	0	0	0	0	0	3
230	10	0	0.302631579	0	0	0	0	0	0	0	0	0	0	0	3
235	10	0	0.309210526	0	0	0	0	0	0	0	0	0	0	0	3
240	10	0	0.315789474	0	0	0	0	0	0	0	0	0	0	0	3
245	10	0	0.322368421	0	0	0	0	0	0	0	0	0	0	0	3
250	11	0	0.328947368	0	0	0	0	0	0	0	0	0	0	0	3
255	11	0	0.335526316	0	0	0	0	0	0	0	0	0	0	0	3
260	11	0	0.342105263	0	0	0	0	0	0	0	0	0	0	0	3
265	11	0	0.348684211	0	0	0	0	0	0	0	0	0	0	0	3
270	11	0	0.355263158	0	0	0	0	0	0	0	0	0	0	0	3
275	12	0	0.361842105	0	0	0	0	0	0	0	0	0	0	0	3
280	12	0	0.368421053	0	0	0	0	0	0	0	0	0	0	0	3
285	12	0	0.375	0	0	0	0	0	0	0	0	0	0	0	3
290	12	0	0.381578947	0	0	0	0	0	0	0	0	0	0	0	3
295	12	0	0.388157895	0	0	0	0	0	0	0	0	0	0	0	3
300	12	0	0.394736842	0	0	0	0	0	0	0	0	0	0	0	3
305	13	0	0.401315789	0	0	0	0	0	0	0	0	0	0	0	3
310	13	0	0.407894737	0	0	0	0	0	0	0	0	0	0	0	3
315	13	0	0.414473684	0	0	0	0	0	0	0	0	0	0	0	3
320	13	0	0.421052632	0	0	0	0	0	0	0	0	0	0	0	3
325	13	0	0.427631579	0	0	0	0	0	0	0	0	0	0	0	3
330	14	0	0.434210526	0	0	0	0	0	0	0	0	0	0	0	3
335	14	0	0.440789474	0	0	0	0	0	0	0	0	0	0	0	3
340	14	0	0.447368421	0	0	0	0	0	0	0	0	0	0	0	3
345	14	0	0.453947368	0	0	0	0	0	0	0	0	0	0	0	3
350	15	0	0.460526316	0	0	0	0	0	0	0	0	0	0	0	3
355	15	0	0.467105263	0	0	0	0	0	0	0	0	0	0	0	3
360	15	0	0.473684211	0	0	0	0	0	0	0	0	0	0	0	3
365	15	0	0.480263158	0	0	0	0	0	0	0	0	0	0	0	3
370	15	0	0.486842105	0	0	0	0	0	0	0	0	0	0	0	3
375	16	0	0.493421053	0	0	0	0	0	0	0	0	0	0	0	3
380	16	0	0.5	0	0	0	0	0	0	0	0	0	0	0	3
385	16	0	0.506578947	0	0	0	0	0	0	0	0	0	0	0	3
390	16	0	0.513157895	0	0	0	0	0	0	0	0	0	0	0	3
395	16	0	0.519736842	0	0	0	0	0	0	0	0	0	0	0	3
400	17	0	0.526315789	0	0	0	0	0	0	0	0	0	0	0	3
405	17	0	0.532894737	0	0	0	0	0	0	0	0	0	0	0	3
410	17	0	0.539473684	0	0	0	0	0	0	0	0	0	0	0	3
415	17	0	0.546052632	0	0	0	0	0	0	0	0	0	0	0	3
420	18	0	0.552631579	0	0	0	0	0	0	0	0	0	0	0	3
425	18	0	0.559210526	0	0	0	0	0	0	0	0	0	0	0	3
430	18	0	0.565789474	0	0	0	0	0	0	0	0	0	0	0	3
435	18	0	0.572368421	0	0	0	0	0	0	0	0	0	0	0	3
440	18	0	0.578947368	0	0	0	0	0	0	0	0	0	0	0	3
445	18	0	0.585526316	0	0	0	0	0	0	0	0	0	0	0	3
450	19	0	0.592105263	0	0	0	0	0	0	0	0	0	0	0	3
455	19	0	0.598684211	0	0	0	0	0	0	0	0	0	0	0	3
460	19	0	0.605263158	0	0	0	0	0	0	0	0	0	0	0	3
465	20	0	0.611842105	0	0	0	0	0	0	0	0	0	0	0	3
470	20	0	0.618421053	0	0	0	0	0	0	0	0	0	0	0	3
475	20	0	0.625	0	0	0	0	0	0	0	0	0	0	0	3
480	20	0	0.631578947	0	0	0	0	0	0	0	0	0	0	0	3
485	20	0	0.638157895	0	0	0	0	0	0	0	0	0	0	0	3
