Iteration	CPUTime	PhysTime	Travels
1	1	0	0.00131578947
5	1	0	0.00657894737
10	1	0	0.0131578947
15	1	0	0.0197368421
20	1	0	0.0263157895
25	2	0	0.0328947368
30	2	0	0.0394736842
35	2	0	0.0460526316
40	2	0	0.0526315789
45	2	0	0.0592105263
50	3	0	0.0657894737
55	3	0	0.0723684211
60	3	0	0.0789473684
65	3	0	0.0855263158
70	3	0	0.0921052632
75	3	0	0.0986842105
80	4	0	0.105263158
85	4	0	0.111842105
90	4	0	0.118421053
95	4	0	0.125
100	4	0	0.131578947
105	5	0	0.138157895
110	5	0	0.144736842
115	5	0	0.151315789
120	5	0	0.157894737
125	5	0	0.164473684
130	6	0	0.171052632
135	6	0	0.177631579
140	6	0	0.184210526
145	6	0	0.190789474
150	6	0	0.197368421
155	7	0	0.203947368
160	7	0	0.210526316
165	7	0	0.217105263
170	7	0	0.223684211
175	7	0	0.230263158
180	8	0	0.236842105
185	8	0	0.243421053
190	8	0	0.25
195	8	0	0.256578947
200	9	0	0.263157895
205	9	0	0.269736842
210	9	0	0.276315789
215	9	0	0.282894737
220	9	0	0.289473684
225	10	0	0.296052632
230	10	0	0.302631579
235	10	0	0.309210526
240	10	0	0.315789474
245	10	0	0.322368421
250	11	0	0.328947368
255	11	0	0.335526316
260	11	0	0.342105263
265	11	0	0.348684211
270	11	0	0.355263158
275	12	0	0.361842105
280	12	0	0.368421053
285	12	0	0.375
290	12	0	0.381578947
295	12	0	0.388157895
300	12	0	0.394736842
305	13	0	0.401315789
310	13	0	0.407894737
315	13	0	0.414473684
320	13	0	0.421052632
325	13	0	0.427631579
330	14	0	0.434210526
335	14	0	0.440789474
340	14	0	0.447368421
345	14	0	0.453947368
350	15	0	0.460526316
355	15	0	0.467105263
360	15	0	0.473684211
365	15	0	0.480263158
370	15	0	0.486842105
375	16	0	0.493421053
380	16	0	0.5
385	16	0	0.506578947
390	16	0	0.513157895
395	16	0	0.519736842
400	17	0	0.526315789
405	17	0	0.532894737
410	17	0	0.539473684
415	17	0	0.546052632
420	18	0	0.552631579
425	18	0	0.559210526
430	18	0	0.565789474
435	18	0	0.572368421
440	18	0	0.578947368
445	18	0	0.585526316
450	19	0	0.592105263
455	19	0	0.598684211
460	19	0	0.605263158
465	20	0	0.611842105
470	20	0	0.618421053
475	20	0	0.625
480	20	0	0.631578947
485	20	0	0.638157895
490	21	0	0.644736842
495	21	0	0.651315789
500	21	0	0.657894737
505	21	0	0.664473684
510	21	0	0.671052632
515	22	0	0.677631579
520	22	0	0.684210526
525	22	0	0.690789474
530	22	0	0.697368421
535	22	0	0.703947368
540	25	0	0.710526316
545	25	0	0.717105263
550	25	0	0.723684211
555	25	0	0.730263158
560	26	0	0.736842105
565	26	0	0.743421053
570	26	0	0.75
575	26	0	0.756578947
580	27	0	0.763157895
585	27	0	0.769736842
590	27	0	0.776315789
595	28	0	0.782894737
600	28	0	0.789473684
605	28	0	0.796052632
610	28	0	0.802631579
615	29	0	0.809210526
620	29	0	0.815789474
625	29	0	0.822368421
630	39	0	0.828947368
635	39	0	0.835526316
640	39	0	0.842105263
645	40	0	0.848684211
650	40	0	0.855263158
655	41	0	0.861842105
660	41	0	0.868421053
665	41	0	0.875
670	42	0	0.881578947
675	42	0	0.888157895
680	42	0	0.894736842
685	43	0	0.901315789
690	43	0	0.907894737
695	43	0	0.914473684
700	44	0	0.921052632
705	44	0	0.927631579
710	45	0	0.934210526
715	45	0	0.940789474
720	62	0	0.947368421
725	63	0	0.953947368
730	63	0	0.960526316
735	64	0	0.967105263
740	64	0	0.973684211
745	65	0	0.980263158
750	65	0	0.986842105
755	66	0	0.993421053
760	66	0	1
765	66	0	1.00657895
770	67	0	1.01315789
775	67	0	1.01973684
780	68	0	1.02631579
785	78	0	1.03289474
790	79	0	1.03947368
795	79	0	1.04605263
800	80	0	1.05263158
805	80	0	1.05921053
810	81	0	1.06578947
815	81	0	1.07236842
