Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
54	38	0	0.699905855	293.434499	293.331637	293.226166	293.434499	0.115075224	0	0	0	0	0	3
55	39	0	0.712867075	293.436001	293.337018	293.228325	293.436001	0.119763672	0	0	0	0	0	3
56	40	0	0.725828294	293.437142	293.342372	293.230504	293.437142	0.124381826	0	0	0	0	0	3
57	40	0	0.738789514	293.43761	293.347682	293.232748	293.43761	0.128915517	0	0	0	0	0	3
58	41	0	0.751750733	293.437267	293.352927	293.235031	293.43761	0.133346418	0	0	0	0	0	3
59	41	0	0.764711953	293.436218	293.358085	293.238582	293.43761	0.137600228	0	0	0	0	0	3
60	42	0	0.777673173	293.434753	293.363115	293.242185	293.43761	0.141643878	0	0	0	0	0	3
61	43	0	0.790634392	293.433051	293.368009	293.245831	293.43761	0.145478759	0	0	0	0	0	3
62	43	0	0.803595612	293.431167	293.372761	293.249495	293.43761	0.149107455	0	0	0	0	0	3
63	44	0	0.816556831	293.429043	293.377365	293.25321	293.43761	0.152529014	0	0	0	0	0	3
64	45	0	0.829518051	293.426721	293.381814	293.25903	293.43761	0.155662852	0	0	0	0	0	3
65	45	0	0.84247927	293.424271	293.386051	293.264972	293.43761	0.158461977	0	0	0	0	0	3
66	46	0	0.85544049	293.421806	293.390072	293.271007	293.43761	0.160932715	0	0	0	0	0	3
67	47	0	0.868401709	293.419416	293.393878	293.277128	293.43761	0.160482328	0	0	0	0	0	3
68	47	0	0.881362929	293.417211	293.39747	293.28326	293.43761	0.154349582	0	0	0	0	0	3
69	48	0	0.894324148	293.415215	293.400853	293.292638	293.43761	0.144971882	0	0	0	0	0	3
70	49	0	0.907285368	293.413418	293.40395	293.301856	293.43761	0.135753995	0	0	0	0	0	3
71	49	0	0.920246587	293.411781	293.406769	293.310932	293.43761	0.126677535	0	0	0	0	0	3
72	50	0	0.933207807	293.410288	293.409316	293.319821	293.43761	0.117788427	0	0	0	0	0	3
73	51	0	0.946169027	293.408926	293.411601	293.328547	293.43761	0.109062829	0	0	0	0	0	3
74	51	0	0.959130246	293.407723	293.413631	293.34098	293.43761	0.0966301228	0	0	0	0	0	3
75	52	0	0.972091466	293.406725	293.415317	293.352783	293.43761	0.0848273322	0	0	0	0	0	3
76	52	0	0.985052685	293.405963	293.416681	293.363811	293.43761	0.0737988015	0	0	0	0	0	3
77	53	0	0.998013905	293.405452	293.417748	293.373779	293.43761	0.0638304851	0	0	0	0	0	3
78	54	0	1.01097512	293.405182	293.418554	293.382263	293.43761	0.0553463928	0.00678635226	0	0	0	0	3
