Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
60	42	0	0.777673173	24255.8629	24447.1199	24255.8629	25081.2678	825.404956	0	0	0	0	0	3
61	43	0	0.790634392	24257.5401	24426.3084	24255.8629	25081.2678	825.404956	0	0	0	0	0	3
62	43	0	0.803595612	24254.2629	24405.1031	24254.2629	24950.5702	696.307368	0	0	0	0	0	3
63	44	0	0.816556831	24253.118	24388.1667	24253.118	24950.5702	697.452229	0	0	0	0	0	3
64	45	0	0.829518051	24249.2242	24370.1834	24249.2242	24817.1929	567.968705	0	0	0	0	0	3
65	45	0	0.84247927	24250.2498	24355.6464	24249.2242	24624.4991	375.274865	0	0	0	0	0	3
66	46	0	0.85544049	24249.2427	24346.0245	24249.2242	24503.7708	254.546591	0	0	0	0	0	3
67	47	0	0.868401709	24250.4805	24342.0895	24249.2242	24503.7708	254.546591	0	0	0	0	0	3
68	47	0	0.881362929	24248.7679	24337.5001	24248.7679	24503.7708	255.002902	0	0	0	0	0	3
69	48	0	0.894324148	24249.9734	24334.2603	24248.7679	24503.7708	255.002902	0	0	0	0	0	3
70	49	0	0.907285368	24248.6321	24333.208	24248.6321	24503.7708	255.138691	0	0	0	0	0	3
71	49	0	0.920246587	24250.5222	24330.8241	24248.6321	24503.7708	255.138691	0	0	0	0	0	3
72	50	0	0.933207807	24250.0877	24327.6382	24248.6321	24503.7708	255.138691	0	0	0	0	0	3
73	51	0	0.946169027	24251.9988	24325.2568	24248.6321	24503.7708	255.138691	0	0	0	0	0	3
74	51	0	0.959130246	24252.5851	24322.7172	24248.6321	24503.7708	255.138691	0	0	0	0	0	3
75	52	0	0.972091466	24255.3413	24317.9323	24248.6321	24503.7708	255.138691	0	0	0	0	0	3
76	52	0	0.985052685	24257.1809	24311.6094	24248.6321	24494.3674	245.735339	0	0	0	0	0	3
77	53	0	0.998013905	24257.7888	24305.5433	24248.6321	24488.2721	239.639964	0	0	0	0	0	3
78	54	0	1.01097512	24257.2233	24299.619	24248.6321	24453.2388	204.606665	387.949895	0	100	0	0	3
