Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0129612195
2	4	0	0.0259224391
3	4	0	0.0388836586
4	5	0	0.0518448782
5	5	0	0.0648060977
6	6	0	0.0777673173
7	6	0	0.0907285368
8	7	0	0.103689756
9	8	0	0.116650976
10	8	0	0.129612195
11	9	0	0.142573415
12	10	0	0.155534635
13	11	0	0.168495854
14	11	0	0.181457074
15	12	0	0.194418293
16	13	0	0.207379513
17	14	0	0.220340732
18	14	0	0.233301952
19	15	0	0.246263171
20	16	0	0.259224391
21	16	0	0.27218561
22	17	0	0.28514683
23	17	0	0.298108049
24	18	0	0.311069269
25	19	0	0.324030489
26	19	0	0.336991708
27	20	0	0.349952928
28	21	0	0.362914147
29	21	0	0.375875367
30	22	0	0.388836586
31	23	0	0.401797806
32	24	0	0.414759025
33	25	0	0.427720245
34	25	0	0.440681464
35	26	0	0.453642684
36	27	0	0.466603904
37	27	0	0.479565123
38	28	0	0.492526343
39	28	0	0.505487562
40	29	0	0.518448782
41	30	0	0.531410001
42	30	0	0.544371221
43	31	0	0.55733244
44	32	0	0.57029366
45	32	0	0.583254879
46	33	0	0.596216099
47	34	0	0.609177318
48	34	0	0.622138538
49	35	0	0.635099758
50	36	0	0.648060977
51	36	0	0.661022197
52	37	0	0.673983416
53	38	0	0.686944636
54	38	0	0.699905855
55	39	0	0.712867075
56	40	0	0.725828294
57	40	0	0.738789514
58	41	0	0.751750733
59	41	0	0.764711953
60	42	0	0.777673173
61	43	0	0.790634392
62	43	0	0.803595612
63	44	0	0.816556831
64	45	0	0.829518051
65	45	0	0.84247927
66	46	0	0.85544049
67	47	0	0.868401709
68	47	0	0.881362929
69	48	0	0.894324148
70	49	0	0.907285368
71	49	0	0.920246587
72	50	0	0.933207807
73	51	0	0.946169027
74	51	0	0.959130246
75	52	0	0.972091466
76	52	0	0.985052685
77	53	0	0.998013905
78	54	0	1.01097512
