Iteration	CPUTime	PhysTime	Travels
223	20	0.276914094	5.575
224	20	0.278232138	5.6
225	20	0.279550669	5.625
226	20	0.280868713	5.65
227	20	0.282187243	5.675
228	20	0.283505288	5.7
229	20	0.284823818	5.725
230	20	0.286141862	5.75
231	20	0.287460392	5.775
232	20	0.288778435	5.8
233	20	0.290096965	5.825
234	20	0.291415009	5.85
235	20	0.292733539	5.875
236	20	0.294051582	5.9
237	21	0.295370112	5.925
238	21	0.296688155	5.95
239	21	0.298006685	5.975
240	21	0.299324728	6
241	21	0.300643257	6.025
242	21	0.3019613	6.05
243	21	0.30327983	6.075
244	21	0.304597873	6.1
245	21	0.305916402	6.125
246	21	0.307234445	6.15
247	21	0.308552974	6.175
248	21	0.309871017	6.2
249	21	0.311189546	6.225
250	21	0.312507588	6.25
251	22	0.313826117	6.275
252	22	0.31514416	6.3
253	22	0.316462689	6.325
254	22	0.317780732	6.35
255	22	0.31909926	6.375
256	22	0.320417303	6.4
257	22	0.321735832	6.425
258	22	0.323053874	6.45
259	22	0.324372403	6.475
260	22	0.325690445	6.5
261	22	0.327008974	6.525
262	22	0.328327017	6.55
263	22	0.329645545	6.575
264	22	0.330963588	6.6
265	23	0.332282116	6.625
266	23	0.333600159	6.65
267	23	0.334918687	6.675
268	23	0.336236729	6.7
269	23	0.337555258	6.725
270	23	0.3388733	6.75
271	23	0.340191829	6.775
272	23	0.341509871	6.8
273	23	0.342828399	6.825
274	23	0.344146442	6.85
275	23	0.34546497	6.875
276	23	0.346783012	6.9
277	23	0.348101541	6.925
278	24	0.349419583	6.95
279	24	0.350738111	6.975
280	24	0.352056153	7
281	24	0.353374682	7.025
282	24	0.354692724	7.05
283	24	0.356011252	7.075
284	24	0.357329294	7.1
285	24	0.358647823	7.125
286	24	0.359965865	7.15
287	24	0.361284393	7.175
288	24	0.362602435	7.2
289	24	0.363920963	7.225
290	24	0.365239006	7.25
291	25	0.366557534	7.275
292	25	0.367875576	7.3
293	25	0.369194104	7.325
294	25	0.370512146	7.35
295	25	0.371830674	7.375
296	25	0.373148716	7.4
297	25	0.374467245	7.425
298	25	0.375785287	7.45
299	25	0.377103815	7.475
300	25	0.378421857	7.5
301	25	0.379740385	7.525
302	25	0.381058427	7.55
303	26	0.382376955	7.575
304	26	0.383694997	7.6
305	26	0.385013525	7.625
306	26	0.386331567	7.65
307	26	0.387650095	7.675
308	26	0.388968137	7.7
309	26	0.390286665	7.725
310	26	0.391604707	7.75
311	26	0.392923235	7.775
312	26	0.394241277	7.8
313	26	0.395559805	7.825
314	26	0.396877847	7.85
315	27	0.398196375	7.875
316	27	0.399514417	7.9
317	27	0.400832945	7.925
318	27	0.402150987	7.95
319	27	0.403469515	7.975
320	27	0.404787557	8
321	27	0.406106085	8.025
322	27	0.407424127	8.05
323	27	0.408742655	8.075
324	27	0.410060697	8.1
325	27	0.411379225	8.125
326	27	0.412697267	8.15
327	28	0.414015795	8.175
328	28	0.415333837	8.2
329	28	0.416652365	8.225
330	28	0.417970407	8.25
331	28	0.419288935	8.275
332	28	0.420606977	8.3
333	28	0.421925505	8.325
334	28	0.423243547	8.35
335	28	0.424562075	8.375
336	28	0.425880117	8.4
337	28	0.427198645	8.425
338	28	0.428516687	8.45
339	29	0.429835215	8.475
340	29	0.431153257	8.5
341	29	0.432471785	8.525
342	29	0.433789826	8.55
343	29	0.435108354	8.575
344	29	0.436426396	8.6
345	29	0.437744924	8.625
346	29	0.439062966	8.65
347	29	0.440381494	8.675
348	29	0.441699536	8.7
349	29	0.443018064	8.725
350	29	0.444336106	8.75
351	30	0.445654634	8.775
352	30	0.446972676	8.8
353	30	0.448291204	8.825
354	30	0.449609246	8.85
355	30	0.450927774	8.875
356	30	0.452245815	8.9
357	30	0.453564343	8.925
358	30	0.454882385	8.95
359	30	0.456200913	8.975
360	30	0.457518955	9
361	30	0.458837483	9.025
362	30	0.460155525	9.05
363	31	0.461474053	9.075
364	31	0.462792095	9.1
365	31	0.464110623	9.125
366	31	0.465428665	9.15
367	31	0.466747193	9.175
368	31	0.468065234	9.2
369	31	0.469383762	9.225
370	31	0.470701804	9.25
371	31	0.472020332	9.275
372	31	0.473338374	9.3
373	31	0.474656902	9.325
374	32	0.475974944	9.35
375	32	0.477293472	9.375
376	32	0.478611514	9.4
377	32	0.479930042	9.425
378	32	0.481248083	9.45
379	32	0.482566611	9.475
380	32	0.483884653	9.5
381	32	0.485203181	9.525
382	32	0.486521223	9.55
383	32	0.487839751	9.575
384	32	0.489157793	9.6
385	32	0.490476321	9.625
386	33	0.491794363	9.65
387	33	0.493112891	9.675
388	33	0.494430932	9.7
389	33	0.49574946	9.725
390	33	0.497067502	9.75
391	33	0.49838603	9.775
392	33	0.499704072	9.8
393	33	0.5010226	9.825
394	33	0.502340642	9.85
395	33	0.50365917	9.875
396	33	0.504977212	9.9
397	33	0.50629574	9.925
398	34	0.507613781	9.95
399	34	0.508932309	9.975
400	34	0.510250351	10
401	34	0.511568879	10.025
402	34	0.512886921	10.05
403	34	0.514205449	10.075
404	34	0.515523491	10.1
405	34	0.516842019	10.125
406	34	0.518160061	10.15
407	34	0.519478588	10.175
408	34	0.52079663	10.2
409	35	0.522115158	10.225
410	35	0.5234332	10.25
411	35	0.524751728	10.275
412	35	0.52606977	10.3
413	35	0.527388298	10.325
414	35	0.52870634	10.35
415	35	0.530024868	10.375
416	35	0.531342909	10.4
417	35	0.532661437	10.425
418	35	0.533979479	10.45
419	35	0.535298007	10.475
420	36	0.536616049	10.5
421	36	0.537934577	10.525
422	36	0.539252619	10.55
423	36	0.540571147	10.575
424	36	0.541889189	10.6
425	36	0.543207716	10.625
426	36	0.544525758	10.65
427	36	0.545844286	10.675
428	36	0.547162328	10.7
429	36	0.548480856	10.725
430	36	0.549798898	10.75
431	36	0.551117426	10.775
432	37	0.552435468	10.8
433	37	0.553753996	10.825
