Iteration	CPUTime	PhysTime	Travels
1	1	0.0087122225	0.00805624849
2	1	0.0131440272	0.016112497
3	2	0.0172733156	0.0241687455
4	2	0.0214501349	0.032224994
5	2	0.0258797364	0.0402812425
6	2	0.0336127001	0.048337491
7	3	0.0427936561	0.0563937395
8	3	0.0525812296	0.0644499879
9	3	0.0625484757	0.0725062364
10	6	0.0726406876	0.0805624849
11	6	0.0879050577	0.0886187334
12	6	0.1	0.0966749819
13	7	0.115545437	0.10473123
14	7	0.131222678	0.112787479
15	7	0.147025424	0.120843727
16	7	0.170893682	0.128899976
17	8	0.194977618	0.136956224
18	8	0.2	0.145012473
19	8	0.224328918	0.153068721
20	9	0.248819412	0.16112497
21	9	0.285756534	0.169181218
22	13	0.3	0.177237467
23	14	0.337109892	0.185293715
24	14	0.374369451	0.193349964
25	14	0.4	0.201406212
26	15	0.456508313	0.209462461
27	15	0.5	0.217518709
28	15	0.557141015	0.225574958
29	16	0.6	0.233631206
30	16	0.657547478	0.241687455
31	16	0.7	0.249743703
32	17	0.776167603	0.257799952
33	17	0.8	0.2658562
34	17	0.876439417	0.273912449
35	18	0.9	0.281968697
36	18	0.976653836	0.290024946
37	18	1	0.298081194
38	23	1.07682422	0.306137443
39	23	1.1	0.314193691
40	24	1.17693841	0.32224994
41	24	1.2	0.330306188
42	24	1.27705065	0.338362437
43	25	1.3	0.346418685
44	25	1.37711914	0.354474934
45	25	1.4	0.362531182
46	26	1.47719803	0.370587431
47	26	1.5	0.378643679
48	27	1.57722951	0.386699928
49	35	1.6	0.394756176
50	36	1.67728887	0.402812425
51	36	1.7	0.410868673
52	36	1.77732394	0.418924922
53	37	1.8	0.42698117
54	37	1.87734631	0.435037419
55	37	1.9	0.443093667
56	38	1.97736612	0.451149916
57	38	2	0.459206164
58	39	2.0774051	0.467262413
59	39	2.1	0.475318661
60	39	2.17740461	0.48337491
61	40	2.2	0.491431158
62	40	2.27742162	0.499487407
63	41	2.3	0.507543655
64	41	2.3774354	0.515599904
65	42	2.4	0.523656152
66	42	2.47744666	0.531712401
67	42	2.5	0.539768649
68	43	2.57744708	0.547824898
69	43	2.6	0.555881146
70	44	2.67746954	0.563937395
71	44	2.7	0.571993643
72	44	2.77746013	0.580049891
73	45	2.8	0.58810614
74	45	2.877467	0.596162388
75	46	2.9	0.604218637
76	46	2.97747606	0.612274885
77	46	3	0.620331134
78	47	3.07748043	0.628387382
79	47	3.1	0.636443631
80	48	3.17747576	0.644499879
81	48	3.2	0.652556128
82	48	3.27749012	0.660612376
83	49	3.3	0.668668625
84	49	3.37748157	0.676724873
85	50	3.4	0.684781122
86	50	3.47748614	0.69283737
87	50	3.5	0.700893619
88	51	3.57749149	0.708949867
89	51	3.6	0.717006116
90	52	3.67748914	0.725062364
91	52	3.7	0.733118613
92	52	3.77748409	0.741174861
93	53	3.8	0.74923111
94	53	3.87750098	0.757287358
95	54	3.9	0.765343607
96	54	3.97748156	0.773399855
97	54	4	0.781456104
98	55	4.07748909	0.789512352
99	55	4.1	0.797568601
100	56	4.1774963	0.805624849
101	56	4.2	0.813681098
102	57	4.27749219	0.821737346
103	57	4.3	0.829793595
104	58	4.37748804	0.837849843
105	58	4.4	0.845906092
106	59	4.47750067	0.85396234
107	59	4.5	0.862018589
108	60	4.57748607	0.870074837
109	60	4.6	0.878131086
110	61	4.67749163	0.886187334
111	61	4.7	0.894243583
112	61	4.7774964	0.902299831
113	62	4.8	0.91035608
114	62	4.87749236	0.918412328
115	62	4.9	0.926468577
116	63	4.97748966	0.934524825
117	63	5	0.942581074
118	64	5.07750167	0.950637322
119	64	5.1	0.958693571
120	65	5.17748765	0.966749819
121	65	5.2	0.974806068
122	65	5.27749229	0.982862316
123	66	5.3	0.990918565
124	66	5.37749542	0.998974813
125	67	5.4	1.00703106
126	67	5.47749279	1.01508731
127	67	5.5	1.02314356
128	68	5.577489	1.03119981
129	68	5.6	1.03925606
130	69	5.67750147	1.0473123
131	69	5.7	1.05536855
132	70	5.77748694	1.0634248
133	70	5.8	1.07148105
134	70	5.87749241	1.0795373
