"ÌßÛ¯Ä3"
"ŽžŠÔ (sec)","‘¬“x1 (meter/sec)"
0,1
0.04,1
0.08,1
0.12,1
0.16,1
0.2,1
0.24,1
0.28,1
0.32,1
0.36,1
0.4,1
0.44,1
0.440195903471922,0.999445434566053
0.48,0.999445434566053
0.52,0.999445434566053
0.56,0.999445434566053
0.6,0.999445434566053
0.64,0.999445434566053
0.68,0.999445434566053
0.72,0.999445434566053
0.76,0.999445434566053
0.8,0.999445434566053
0.84,0.999445434566053
0.88,0.999445434566053
0.92,0.999445434566053
0.96,0.999445434566053
1,0.999445434566053
1.04,0.999445434566053
1.08,0.999445434566053
1.12,0.999445434566053
1.14628017383536,0.998965716930054
1.16,0.998965716930016
1.2,0.998965716930016
1.24,0.998965716930016
1.28,0.998965716930016
1.32,0.998965716930016
1.36,0.998965716930016
1.4,0.998965716930016
1.44,0.998965716930016
1.48,0.998965716930016
1.52,0.998965716930016
1.56,0.998965716930016
1.6,0.998965716930016
1.64,0.998965716930016
1.68,0.998965716930016
1.70846973256509,0.998470170166003
1.72,0.998470170166003
1.76,0.998470170166003
1.8,0.998470170166003
1.84,0.998470170166003
1.88,0.998470170166003
1.92,0.998470170166003
1.96,0.998470170166003
2,0.998470170166004
2.04,0.998470170166004
2.08,0.998470170166004
2.12,0.998470170166004
2.15277096468273,0.998917414636012
2.16,0.998917414636012
2.2,0.998917414636012
2.24,0.998917414636012
2.28,0.998917414636012
2.32,0.998917414636012
2.36,0.998917414636012
2.4,0.998917414636012
2.44,0.998917414636012
2.48,0.998917414636012
2.5099408338434,0.998631706024284
2.52,0.998631706024285
2.56,0.998631706024284
2.6,0.998631706024284
2.64,0.998631706024285
2.68,0.998631706024285
2.72,0.998631706024285
2.76,0.998631706024285
2.79384160450445,0.998665175508099
2.8,0.998665175508099
2.84,0.998665175508099
2.88,0.998665175508099
2.92,0.998665175508099
2.96,0.998665175508099
3,0.998665175508099
3.02184067854932,0.998755832663668
3.04,0.998755832663668
3.08,0.998755832663668
3.12,0.998755832663668
3.16,0.998755832663668
3.2,0.998755832663668
3.20315647496558,0.998787593450095
3.24,0.998787593450095
3.28,0.998787593450095
3.32,0.998787593450095
3.34722636102657,0.998663766141294
3.36,0.998663766141294
3.4,0.998663766141294
3.44,0.998663766141294
3.45997508556483,0.998799661435166
3.48,0.998799661435166
3.52,0.998799661435166
3.55004779682446,0.998886797085111
3.56,0.998886797085111
3.6,0.998886797085111
3.62104759228252,0.998914574039722
3.64,0.998914574039723
3.6768879807683,0.998909560381466
3.68,0.998909560381466
3.71833463007705,0.99889339884716
3.72,0.99889339884716
3.74634591179656,0.998879522010512
3.75675420702377,0.998849203981464
3.76,0.998849197844092
3.77085276860153,0.998836880659789
3.78280773003556,0.998828511426754
3.79409751459417,0.998819981520883
3.8,0.99881720202962
3.80683297266212,0.998794856049886
3.82049891798636,0.998757360056756
3.83160056573912,0.998736170687579
3.84,0.998716773196429
3.84376328306185,0.998716763794585
3.85636016710711,0.99870235894622
3.87157112087179,0.998690595631407
3.88,0.998685308547047
3.8840731276663,0.998683977886266
3.89666678441479,0.998680029195126
3.91037439149772,0.998679160879924
3.92,0.998681883884379
3.92458040821756,0.99868382792349
3.93840183020809,0.998691510990589
3.95386152065947,0.998703716873844
3.96,0.998719638893566
3.96613847934053,0.998726801663103
3.98030605687938,0.998762323492942
3.99369492282441,0.998797661634377
4,0.998806620412615
4.0063050771756,0.998822208436314
4.01665339338353,0.998836075545499
4.02676532336876,0.99884868470325
4.04,0.998862569031055
4.04,0.998862569031055
4.05139256892705,0.998868024546482
4.06395714838246,0.99888437929118
4.07511971905509,0.998894768956945
4.08,0.998896761368084
4.08976056188983,0.998902511594313
4.10464084283475,0.998907530712008
4.12,0.998913471964419
4.12511971905509,0.998913489626583
4.14083948817868,0.998913257178165
4.15180015020551,0.998911258508035
4.16,0.99891065046576
4.16819984979449,0.998908803749557
4.18049962448623,0.998904396062895
4.19279939917796,0.9989017797587
4.2,0.998899247173788
4.20403231604222,0.998898588056347
4.21772304283726,0.998890779848968
4.22897523225844,0.998878227644809
4.24,0.998865508833076
4.24,0.998865508833076
4.25043772707282,0.998852623705462
4.26502901473494,0.998839143293892
4.28,0.998827206011459
4.28,0.998827206011459
4.29088295928165,0.998816104811441
4.3020070984621,0.998806279750351
4.31337241754133,0.99879681135394
4.32,0.998792156540488
4.32632568936584,0.998785649681732
4.33897706809753,0.998778546520294
4.35299235603251,0.998773078945136
4.36,0.998771624687095
4.36690482603786,0.99877171180958
4.38071447811359,0.998773088262324
4.39251203007649,0.998775700913479
4.4,0.998778543970148
4.40752661857623,0.99877921061815
4.42000883895425,0.998782398534697
4.43478943149974,0.998788827629112
4.44,0.998791356934013
4.44505998149296,0.998794823143382
4.45517994447889,0.998800805399119
4.46576862306966,0.998808145662685
4.48,0.998816810941445
4.48,0.998816810941445
4.49480402867615,0.998826954545308
4.50538840200679,0.998835005644834
4.52,0.998844327511197
4.52,0.998844327511197
4.5300214221403,0.998850735487212
4.54045095404297,0.998856617725799
4.55128859570802,0.998863019808247
4.56,0.99886628917219
4.56503344210337,0.998868305400953
4.57510032631009,0.998871170078069
4.58607602084836,0.998873497640876
4.6,0.998874641574652
4.6,0.998874641574652
4.61011926913473,0.998874300280722
4.62072504361657,0.998872909837607
4.63181732344552,0.998869779308521
4.64,0.998867714170675
4.64505525862186,0.998865761739695
4.65516577586558,0.998861546809101
4.66622227792145,0.998855242420169
4.68,0.998848784210599
4.68,0.998848784210599
4.69011663005714,0.998843467165611
